file_name,ndvi_file_name,location,year,row,col,cloud_coverage,bounds
Panvel_2018_0_0.png,NDVI_Panvel_2018_0_0.tif,Panvel,2018,0,0,,"[[[73.01835978047194, 19.011966966966966], [73.06712697939427, 19.011966966966966], [73.06712697939427, 19.058093093093092], [73.01835978047194, 19.058093093093092], [73.01835978047194, 19.011966966966966]]]"
Panvel_2018_0_1.png,NDVI_Panvel_2018_0_1.tif,Panvel,2018,0,1,,"[[[73.06712697939427, 19.011966966966966], [73.11589417831661, 19.011966966966966], [73.11589417831661, 19.058093093093092], [73.06712697939427, 19.058093093093092], [73.06712697939427, 19.011966966966966]]]"
Panvel_2018_0_2.png,NDVI_Panvel_2018_0_2.tif,Panvel,2018,0,2,,"[[[73.11589417831661, 19.011966966966966], [73.16466137723896, 19.011966966966966], [73.16466137723896, 19.058093093093092], [73.11589417831661, 19.058093093093092], [73.11589417831661, 19.011966966966966]]]"
Panvel_2018_0_3.png,NDVI_Panvel_2018_0_3.tif,Panvel,2018,0,3,,"[[[73.16466137723896, 19.011966966966966], [73.21342857616129, 19.011966966966966], [73.21342857616129, 19.058093093093092], [73.16466137723896, 19.058093093093092], [73.16466137723896, 19.011966966966966]]]"
Panvel_2018_0_4.png,NDVI_Panvel_2018_0_4.tif,Panvel,2018,0,4,,"[[[73.21342857616129, 19.011966966966966], [73.26219577508363, 19.011966966966966], [73.26219577508363, 19.058093093093092], [73.21342857616129, 19.058093093093092], [73.21342857616129, 19.011966966966966]]]"
Panvel_2018_1_0.png,NDVI_Panvel_2018_1_0.tif,Panvel,2018,1,0,,"[[[73.01835978047194, 18.96584084084084], [73.06712697939427, 18.96584084084084], [73.06712697939427, 19.011966966966966], [73.01835978047194, 19.011966966966966], [73.01835978047194, 18.96584084084084]]]"
Panvel_2018_1_1.png,NDVI_Panvel_2018_1_1.tif,Panvel,2018,1,1,,"[[[73.06712697939427, 18.96584084084084], [73.11589417831661, 18.96584084084084], [73.11589417831661, 19.011966966966966], [73.06712697939427, 19.011966966966966], [73.06712697939427, 18.96584084084084]]]"
Panvel_2018_1_2.png,NDVI_Panvel_2018_1_2.tif,Panvel,2018,1,2,,"[[[73.11589417831661, 18.96584084084084], [73.16466137723896, 18.96584084084084], [73.16466137723896, 19.011966966966966], [73.11589417831661, 19.011966966966966], [73.11589417831661, 18.96584084084084]]]"
Panvel_2018_1_3.png,NDVI_Panvel_2018_1_3.tif,Panvel,2018,1,3,,"[[[73.16466137723896, 18.96584084084084], [73.21342857616129, 18.96584084084084], [73.21342857616129, 19.011966966966966], [73.16466137723896, 19.011966966966966], [73.16466137723896, 18.96584084084084]]]"
Panvel_2018_1_4.png,NDVI_Panvel_2018_1_4.tif,Panvel,2018,1,4,,"[[[73.21342857616129, 18.96584084084084], [73.26219577508363, 18.96584084084084], [73.26219577508363, 19.011966966966966], [73.21342857616129, 19.011966966966966], [73.21342857616129, 18.96584084084084]]]"
Panvel_2018_2_0.png,NDVI_Panvel_2018_2_0.tif,Panvel,2018,2,0,,"[[[73.01835978047194, 18.919714714714715], [73.06712697939427, 18.919714714714715], [73.06712697939427, 18.96584084084084], [73.01835978047194, 18.96584084084084], [73.01835978047194, 18.919714714714715]]]"
Panvel_2018_2_1.png,NDVI_Panvel_2018_2_1.tif,Panvel,2018,2,1,,"[[[73.06712697939427, 18.919714714714715], [73.11589417831661, 18.919714714714715], [73.11589417831661, 18.96584084084084], [73.06712697939427, 18.96584084084084], [73.06712697939427, 18.919714714714715]]]"
Panvel_2018_2_2.png,NDVI_Panvel_2018_2_2.tif,Panvel,2018,2,2,,"[[[73.11589417831661, 18.919714714714715], [73.16466137723896, 18.919714714714715], [73.16466137723896, 18.96584084084084], [73.11589417831661, 18.96584084084084], [73.11589417831661, 18.919714714714715]]]"
Panvel_2018_2_3.png,NDVI_Panvel_2018_2_3.tif,Panvel,2018,2,3,,"[[[73.16466137723896, 18.919714714714715], [73.21342857616129, 18.919714714714715], [73.21342857616129, 18.96584084084084], [73.16466137723896, 18.96584084084084], [73.16466137723896, 18.919714714714715]]]"
Panvel_2018_2_4.png,NDVI_Panvel_2018_2_4.tif,Panvel,2018,2,4,,"[[[73.21342857616129, 18.919714714714715], [73.26219577508363, 18.919714714714715], [73.26219577508363, 18.96584084084084], [73.21342857616129, 18.96584084084084], [73.21342857616129, 18.919714714714715]]]"
Panvel_2018_3_0.png,NDVI_Panvel_2018_3_0.tif,Panvel,2018,3,0,,"[[[73.01835978047194, 18.87358858858859], [73.06712697939427, 18.87358858858859], [73.06712697939427, 18.919714714714715], [73.01835978047194, 18.919714714714715], [73.01835978047194, 18.87358858858859]]]"
Panvel_2018_3_1.png,NDVI_Panvel_2018_3_1.tif,Panvel,2018,3,1,,"[[[73.06712697939427, 18.87358858858859], [73.11589417831661, 18.87358858858859], [73.11589417831661, 18.919714714714715], [73.06712697939427, 18.919714714714715], [73.06712697939427, 18.87358858858859]]]"
Panvel_2018_3_2.png,NDVI_Panvel_2018_3_2.tif,Panvel,2018,3,2,,"[[[73.11589417831661, 18.87358858858859], [73.16466137723896, 18.87358858858859], [73.16466137723896, 18.919714714714715], [73.11589417831661, 18.919714714714715], [73.11589417831661, 18.87358858858859]]]"
Panvel_2018_3_3.png,NDVI_Panvel_2018_3_3.tif,Panvel,2018,3,3,,"[[[73.16466137723896, 18.87358858858859], [73.21342857616129, 18.87358858858859], [73.21342857616129, 18.919714714714715], [73.16466137723896, 18.919714714714715], [73.16466137723896, 18.87358858858859]]]"
